seller_id,last_login,device,failed_logins,ip_country
S100070,2023-03-03,Tablet,6,Germany
S100071,2023-10-01,Desktop,7,Australia
S100072,2024-10-01,Mobile,2,India
S100073,2023-12-14,Tablet,2,Singapore
S100074,2022-11-10,Tablet,5,Germany
S100075,2022-11-23,Desktop,6,India
S100076,2022-06-11,Tablet,0,USA
S100077,2022-07-14,Desktop,8,Australia
S100078,2022-09-10,Desktop,5,UK
S100079,2026-02-28,Tablet,2,Australia
S100080,2023-03-05,Tablet,6,Australia
S100081,2023-03-22,Desktop,1,Singapore
S100082,2025-03-20,Mobile,4,USA
S100083,2023-12-12,Tablet,8,USA
S100084,2026-07-01,Tablet,4,USA
S100085,2024-10-05,Mobile,5,Germany
S100086,2023-02-20,Tablet,7,UK
S100087,2023-08-21,Desktop,6,Canada
S100088,2022-09-23,Mobile,6,USA
S100089,2023-06-09,Mobile,4,UK
S100090,2024-04-25,Mobile,1,UK
S100091,2024-05-30,Tablet,2,Canada
S100092,2024-11-09,Tablet,6,UK
S100093,2024-12-22,Mobile,3,USA
S100094,2026-01-15,Mobile,4,Australia
S100095,2025-08-29,Desktop,2,UK
S100096,2024-10-13,Mobile,1,India
S100097,2025-03-01,Tablet,3,Germany
S100098,2026-01-02,Desktop,8,Australia
S100099,2024-04-09,Mobile,0,USA
S100100,2026-01-18,Mobile,7,Singapore
S100101,2024-08-29,Desktop,6,UK
S100102,2022-01-10,Tablet,5,Canada
S100103,2025-09-08,Tablet,5,Australia
S100104,2025-06-07,Mobile,1,Canada
S100105,2022-06-19,Mobile,5,USA
S100106,2024-10-19,Desktop,1,Canada
S100107,2023-01-13,Tablet,4,USA
S100108,2024-12-22,Desktop,4,UK
S100109,2026-07-01,Mobile,2,India
S100110,2022-06-19,Mobile,4,UK
S100111,2024-04-30,Tablet,1,Singapore
S100112,2025-11-07,Mobile,2,Germany
S100113,2023-04-23,Desktop,1,Australia
S100114,2022-10-04,Mobile,5,Germany
S100115,2026-07-03,Tablet,5,USA
S100116,2023-11-25,Desktop,1,USA
S100117,2026-04-11,Mobile,0,India
S100118,2022-07-07,Desktop,7,India
S100119,2023-08-03,Tablet,7,USA
S100120,2025-07-03,Desktop,7,Australia
S100121,2024-06-11,Desktop,8,Canada
S100122,2023-04-25,Mobile,7,UK
S100123,2026-07-10,Tablet,8,Canada
S100124,2024-04-09,Mobile,2,USA
S100125,2023-05-12,Desktop,2,Singapore
S100126,2025-06-10,Tablet,3,Singapore
S100127,2024-04-23,Mobile,5,Germany
S100128,2025-10-03,Tablet,7,USA
S100129,2022-08-09,Mobile,3,Germany
S100130,2025-04-19,Desktop,4,India
S100131,2022-08-22,Desktop,7,Canada
S100132,2023-07-27,Desktop,0,Australia
S100133,2023-09-25,Mobile,7,Australia
S100134,2025-08-11,Tablet,5,Singapore
S100135,2024-01-21,Mobile,3,India
S100136,2023-03-13,Mobile,1,Canada
S100137,2022-05-16,Desktop,2,USA
S100138,2024-02-18,Mobile,2,Singapore
S100139,2022-04-12,Tablet,7,Australia
S100140,2026-06-20,Desktop,4,India
S100141,2025-07-10,Mobile,4,Canada
S100142,2026-04-03,Mobile,6,UK
S100143,2026-05-19,Mobile,7,USA
S100144,2025-07-28,Desktop,1,Germany
S100145,2026-06-02,Desktop,2,UK
S100146,2022-06-24,Tablet,8,India
S100147,2025-09-29,Desktop,8,Canada
S100148,2025-06-23,Mobile,6,Canada
S100149,2025-05-23,Tablet,1,Canada
S100150,2024-03-10,Desktop,4,USA
S100151,2022-07-06,Desktop,8,Australia
S100152,2024-07-13,Desktop,1,Singapore
S100153,2024-02-21,Mobile,7,India
S100154,2023-10-26,Tablet,0,Australia
S100155,2022-01-04,Tablet,2,Australia
S100156,2022-07-03,Desktop,0,India
S100157,2025-03-24,Desktop,8,USA
S100158,2025-06-08,Mobile,4,USA
S100159,2023-02-15,Tablet,8,Singapore
S100160,2025-06-18,Mobile,7,India
S100161,2023-06-09,Desktop,5,UK
S100162,2024-10-13,Desktop,6,Germany
S100163,2024-02-26,Desktop,8,Canada
S100164,2024-03-03,Tablet,0,India
S100165,2025-07-21,Desktop,0,Germany
S100166,2023-05-09,Mobile,6,UK
S100167,2025-04-15,Desktop,2,UK
S100168,2023-11-09,Tablet,6,Australia
S100169,2025-02-20,Tablet,8,USA
S100170,2026-04-24,Tablet,6,USA
S100171,2024-12-30,Mobile,5,Germany
S100172,2023-04-26,Desktop,3,Canada
S100173,2025-03-19,Desktop,5,Canada
S100174,2024-12-19,Desktop,2,India
S100175,2025-09-15,Desktop,4,Canada
S100176,2022-09-24,Tablet,2,UK
S100177,2022-11-10,Tablet,8,India
S100178,2026-07-20,Desktop,4,UK
S100179,2022-06-23,Desktop,8,Australia
S100180,2023-08-16,Mobile,2,India
S100181,2024-05-17,Desktop,0,UK
S100182,2025-09-16,Desktop,5,India
S100183,2026-01-18,Mobile,4,UK
S100184,2023-07-05,Tablet,6,Singapore
S100185,2023-05-11,Mobile,8,Australia
S100186,2025-04-15,Desktop,4,Australia
S100187,2023-09-28,Mobile,2,Germany
S100188,2024-10-19,Tablet,8,Canada
S100189,2023-12-11,Mobile,3,Australia
S100190,2024-12-05,Desktop,3,UK
S100191,2023-01-07,Desktop,5,USA
S100192,2022-12-27,Desktop,4,India
S100193,2024-09-24,Tablet,8,India
S100194,2022-01-24,Mobile,2,UK
S100195,2025-03-26,Desktop,4,USA
S100196,2025-09-17,Tablet,4,Germany
S100197,2025-05-13,Tablet,8,USA
S100198,2025-02-05,Tablet,6,Canada
S100199,2025-08-09,Mobile,5,Germany
S100200,2024-10-21,Tablet,7,Singapore
S100201,2023-07-02,Desktop,8,India
S100202,2022-08-15,Tablet,4,Singapore
S100203,2025-01-26,Desktop,3,Germany
S100204,2022-11-05,Tablet,3,Australia
S100205,2022-11-12,Tablet,0,India
S100206,2025-08-21,Mobile,2,India
S100207,2023-02-23,Mobile,8,Singapore
S100208,2024-10-12,Desktop,3,India
S100209,2023-02-09,Tablet,8,Singapore
S100210,2022-09-03,Mobile,7,USA
S100211,2023-06-13,Desktop,5,Australia
S100212,2025-07-30,Tablet,1,Canada
S100213,2022-04-03,Tablet,4,Singapore
S100214,2025-12-10,Mobile,8,Germany
S100215,2023-06-28,Desktop,8,Singapore
S100216,2024-06-14,Tablet,5,Singapore
S100217,2022-12-02,Desktop,8,Australia
S100218,2023-02-27,Mobile,8,Australia
S100219,2022-06-18,Tablet,2,USA
S100220,2023-01-17,Mobile,8,Canada
S100221,2022-02-24,Tablet,4,Canada
S100222,2023-07-19,Desktop,5,Germany
S100223,2022-02-17,Mobile,8,Germany
S100224,2023-06-20,Desktop,3,UK
S100225,2025-07-17,Tablet,2,Singapore
S100226,2023-05-08,Desktop,5,Canada
S100227,2024-03-18,Mobile,6,UK
S100228,2023-06-17,Desktop,1,UK
S100229,2022-06-03,Tablet,1,Canada
S100230,2023-10-27,Tablet,8,Canada
S100231,2024-06-05,Mobile,7,Germany
S100232,2024-04-03,Tablet,6,UK
S100233,2022-08-23,Desktop,6,Germany
S100234,2024-09-30,Desktop,6,Australia
S100235,2024-12-28,Desktop,3,Australia
S100236,2026-05-15,Desktop,7,Singapore
S100237,2022-09-25,Mobile,0,Australia
S100238,2025-11-07,Mobile,5,Australia
S100239,2026-03-16,Mobile,6,Singapore
S100240,2026-02-19,Mobile,2,Germany
S100241,2024-04-09,Tablet,1,Canada
S100242,2022-12-27,Desktop,5,UK
S100243,2022-12-29,Tablet,0,Canada
S100244,2024-11-10,Tablet,3,Germany
S100245,2025-04-27,Mobile,8,Australia
S100246,2023-11-25,Mobile,5,Australia
S100247,2024-01-20,Desktop,2,USA
S100248,2026-06-10,Desktop,0,Singapore
S100249,2025-07-29,Mobile,3,Germany
S100250,2022-03-11,Mobile,1,Singapore
S100251,2026-04-29,Tablet,4,Singapore
S100252,2026-07-08,Mobile,2,Singapore
S100253,2026-05-23,Tablet,0,India
S100254,2026-06-15,Mobile,3,Australia
S100255,2023-12-27,Mobile,3,Canada
S100256,2022-11-25,Tablet,5,USA
S100257,2025-12-04,Mobile,3,Canada
S100258,2022-12-19,Desktop,8,Germany
S100259,2023-01-16,Tablet,8,UK
S100260,2024-12-31,Mobile,3,UK
S100261,2025-05-21,Tablet,4,Singapore
S100262,2024-11-13,Mobile,1,USA
S100263,2023-10-09,Desktop,6,Germany
S100264,2023-07-17,Tablet,1,UK
S100265,2024-02-18,Mobile,4,India
S100266,2022-07-19,Tablet,1,Singapore
S100267,2025-10-22,Mobile,6,Canada
S100268,2024-03-31,Desktop,5,Australia
S100269,2023-02-26,Mobile,4,Australia
S100270,2025-11-21,Desktop,4,USA
S100271,2025-05-17,Tablet,7,USA
S100272,2025-06-12,Desktop,5,Germany
S100273,2024-06-22,Mobile,8,UK
S100274,2022-03-29,Desktop,7,India
S100275,2023-07-08,Desktop,7,Canada
S100276,2025-11-19,Desktop,7,USA
S100277,2026-06-27,Mobile,8,Germany
S100278,2022-10-22,Desktop,3,Australia
S100279,2025-01-22,Tablet,8,Singapore
S100280,2026-02-24,Mobile,0,Singapore
S100281,2023-09-04,Desktop,6,India
S100282,2022-02-02,Tablet,2,Singapore
S100283,2025-05-21,Tablet,8,USA
S100284,2022-05-20,Mobile,7,Germany
S100285,2025-10-23,Mobile,5,Germany
S100286,2023-07-21,Tablet,4,Australia
S100287,2024-09-17,Tablet,3,Singapore
S100288,2025-04-26,Mobile,0,Singapore
S100289,2024-03-10,Desktop,5,Germany
S100290,2026-02-01,Tablet,6,India
S100291,2024-04-21,Tablet,4,India
S100292,2023-06-20,Desktop,5,USA
S100293,2024-05-26,Mobile,0,UK
S100294,2025-06-19,Desktop,7,Canada
S100295,2025-09-17,Desktop,5,UK
S100296,2022-11-18,Mobile,1,Singapore
S100297,2024-11-02,Tablet,7,India
S100298,2023-08-20,Tablet,7,Germany
S100299,2025-11-21,Tablet,7,Canada
S100300,2022-10-12,Tablet,6,India
S100301,2023-05-06,Desktop,3,Germany
S100302,2022-06-19,Desktop,1,India
S100303,2024-08-28,Mobile,6,Australia
S100304,2022-11-13,Mobile,2,Germany
S100305,2023-12-11,Desktop,2,UK
S100306,2025-04-30,Tablet,7,India
S100307,2022-11-05,Desktop,8,UK
S100308,2024-12-19,Tablet,2,Germany
S100309,2025-05-15,Desktop,4,Germany
S100310,2023-10-06,Tablet,6,UK
S100311,2022-06-17,Desktop,2,India
S100312,2024-04-10,Mobile,3,USA
S100313,2024-04-22,Desktop,0,Canada
S100314,2023-11-17,Mobile,8,UK
S100315,2023-06-09,Desktop,3,Canada
S100316,2024-12-06,Mobile,0,USA
S100317,2022-03-31,Mobile,3,Australia
S100318,2023-02-12,Desktop,8,Australia
S100319,2025-12-27,Tablet,1,Australia
S100320,2022-09-14,Tablet,1,Singapore
S100321,2022-01-28,Mobile,4,India
S100322,2023-04-26,Desktop,4,Canada
S100323,2025-10-05,Tablet,0,India
S100324,2023-11-07,Mobile,2,Australia
S100325,2023-12-11,Tablet,6,India
S100326,2022-11-17,Desktop,7,USA
S100327,2026-07-17,Desktop,2,Singapore
S100328,2025-11-18,Desktop,7,UK
S100329,2022-02-27,Mobile,5,Germany
S100330,2023-12-02,Mobile,1,Germany
S100331,2024-10-10,Desktop,2,USA
S100332,2024-07-27,Tablet,1,Australia
S100333,2023-10-29,Mobile,8,UK
S100334,2022-08-23,Desktop,3,Australia
S100335,2025-07-23,Desktop,2,Singapore
S100336,2023-04-18,Desktop,2,Canada
S100337,2024-01-23,Tablet,2,Australia
S100338,2024-10-17,Tablet,8,Australia
S100339,2022-08-23,Tablet,1,India
S100340,2023-12-04,Mobile,1,Canada
S100341,2022-10-31,Mobile,0,Singapore
S100342,2025-04-22,Tablet,1,Germany
S100343,2022-09-09,Mobile,6,Germany
S100344,2025-03-06,Mobile,1,Germany
S100345,2023-05-16,Mobile,2,Germany
S100346,2022-10-07,Mobile,7,Australia
S100347,2026-03-01,Desktop,1,India
S100348,2022-04-14,Tablet,5,UK
S100349,2026-02-25,Desktop,3,Singapore
S100350,2026-03-02,Tablet,4,Canada
S100351,2022-02-15,Desktop,8,India
S100352,2025-05-05,Tablet,5,Germany
S100353,2024-06-22,Desktop,6,USA
S100354,2025-09-11,Mobile,1,Germany
S100355,2022-07-06,Tablet,3,India
S100356,2025-12-13,Mobile,1,Germany
S100357,2025-07-05,Mobile,4,India
S100358,2024-03-07,Mobile,1,Australia
S100359,2023-02-11,Desktop,6,Germany
S100360,2025-06-21,Tablet,7,USA
S100361,2025-10-07,Mobile,4,USA
S100362,2023-12-30,Desktop,1,USA
S100363,2025-08-24,Tablet,1,Canada
S100364,2022-02-19,Tablet,6,USA
S100365,2023-07-17,Mobile,0,Singapore
S100366,2023-07-20,Desktop,7,USA
S100367,2025-01-08,Desktop,7,Australia
S100368,2024-11-17,Desktop,7,USA
S100369,2024-06-28,Tablet,0,UK
S100370,2023-07-29,Mobile,2,Australia
S100371,2022-07-13,Desktop,1,UK
S100372,2025-06-28,Desktop,8,India
S100373,2022-02-21,Tablet,0,Australia
S100374,2025-11-17,Mobile,6,India
S100375,2024-06-04,Mobile,7,Australia
S100376,2022-01-31,Tablet,8,Singapore
S100377,2023-06-05,Desktop,3,Australia
S100378,2026-07-22,Mobile,1,India
S100379,2023-12-30,Tablet,0,USA
S100380,2024-12-17,Desktop,2,UK
S100381,2022-03-22,Desktop,5,India
S100382,2023-10-24,Tablet,1,Canada
S100383,2023-07-24,Mobile,7,Canada
S100384,2024-02-11,Mobile,0,Germany
S100385,2023-03-04,Mobile,8,Canada
S100386,2023-12-12,Tablet,2,UK
S100387,2022-09-30,Mobile,6,Canada
S100388,2024-10-11,Desktop,1,Singapore
S100389,2022-02-09,Mobile,5,UK
S100390,2023-04-23,Mobile,2,Singapore
S100391,2023-08-03,Mobile,3,UK
S100392,2023-11-14,Desktop,4,India
S100393,2022-05-02,Desktop,2,Canada
S100394,2023-02-07,Mobile,2,Singapore
S100395,2025-12-30,Desktop,3,UK
S100396,2024-01-12,Tablet,1,Canada
S100397,2024-07-05,Mobile,8,Germany
S100398,2023-04-24,Tablet,5,Australia
S100399,2022-03-31,Desktop,5,Singapore
S100400,2024-11-11,Desktop,5,UK
S100401,2023-02-08,Mobile,4,Australia
S100402,2023-12-16,Tablet,7,Germany
S100403,2022-06-18,Desktop,4,UK
S100404,2025-06-21,Mobile,8,Singapore
S100405,2023-11-17,Tablet,2,USA
S100406,2023-12-19,Tablet,5,UK
S100407,2023-02-06,Desktop,0,Canada
S100408,2025-11-06,Tablet,6,Germany
S100409,2025-05-18,Tablet,0,Singapore
S100410,2026-04-23,Desktop,2,UK
S100411,2025-02-20,Desktop,6,India
S100412,2023-10-28,Mobile,4,UK
S100413,2024-08-07,Mobile,6,UK
S100414,2023-11-25,Tablet,8,Canada
S100415,2026-06-28,Mobile,7,Singapore
S100416,2025-04-03,Mobile,8,Germany
S100417,2025-04-26,Mobile,3,UK
S100418,2025-04-16,Tablet,2,India
S100419,2025-06-12,Mobile,8,USA
S100420,2023-06-22,Tablet,0,UK
S100421,2025-11-25,Desktop,4,Canada
S100422,2023-03-02,Mobile,0,USA
S100423,2022-12-13,Tablet,0,Canada
S100424,2024-05-23,Mobile,1,Canada
S100425,2024-05-07,Desktop,6,Germany
S100426,2026-07-12,Desktop,7,Germany
S100427,2025-03-20,Desktop,5,Singapore
S100428,2023-08-16,Tablet,3,India
S100429,2024-09-28,Desktop,0,Singapore
S100430,2025-07-18,Desktop,4,Canada
S100431,2022-08-27,Desktop,4,India
S100432,2022-11-13,Tablet,8,India
S100433,2023-07-09,Tablet,5,Germany
S100434,2024-12-07,Desktop,1,Germany
S100435,2025-04-27,Mobile,2,USA
S100436,2023-05-21,Desktop,7,UK
S100437,2022-11-10,Mobile,5,Canada
S100438,2022-10-04,Tablet,2,Australia
S100439,2024-12-01,Desktop,6,Australia
S100440,2023-08-07,Tablet,2,India
S100441,2023-09-29,Desktop,3,Singapore
S100442,2024-06-07,Desktop,2,India
S100443,2023-07-21,Tablet,4,India
S100444,2024-06-06,Tablet,8,Singapore
S100445,2024-11-22,Desktop,5,USA
S100446,2022-01-19,Desktop,7,Canada
S100447,2024-02-17,Tablet,7,Singapore
S100448,2026-04-07,Desktop,0,USA
S100449,2022-12-10,Desktop,4,Singapore
S100450,2023-05-27,Tablet,5,Australia
S100451,2023-11-15,Mobile,1,Canada
S100452,2025-02-24,Desktop,2,India
S100453,2025-11-04,Tablet,6,Germany
S100454,2026-06-12,Desktop,6,USA
S100455,2025-09-25,Desktop,5,India
S100456,2023-01-20,Desktop,5,India
S100457,2024-09-20,Desktop,7,India
S100458,2024-12-14,Desktop,8,UK
S100459,2024-05-08,Tablet,7,Canada
S100460,2023-02-20,Tablet,8,Singapore
S100461,2022-10-27,Tablet,0,USA
S100462,2023-11-05,Mobile,2,Singapore
S100463,2024-03-29,Desktop,3,Australia
S100464,2026-06-27,Mobile,6,USA
S100465,2025-03-26,Tablet,6,Singapore
S100466,2023-10-24,Mobile,8,India
S100467,2024-10-16,Mobile,2,UK
S100468,2026-02-19,Mobile,1,Germany
S100469,2024-01-20,Tablet,6,USA
S100470,2026-02-10,Mobile,4,Australia
S100471,2026-01-16,Mobile,8,USA
S100472,2023-01-05,Mobile,2,UK
S100473,2025-05-20,Tablet,1,UK
S100474,2023-06-01,Desktop,0,India
S100475,2023-09-21,Desktop,8,Germany
S100476,2024-05-05,Desktop,6,Singapore
S100477,2023-09-15,Mobile,6,UK
S100478,2023-05-08,Tablet,0,UK
S100479,2024-10-04,Mobile,4,UK
S100480,2025-02-27,Tablet,2,USA
S100481,2025-10-31,Desktop,3,Germany
S100482,2025-11-24,Mobile,1,Canada
S100483,2022-03-19,Tablet,3,Germany
S100484,2022-01-08,Desktop,0,UK
S100485,2022-01-20,Desktop,0,Germany
S100486,2022-05-29,Desktop,2,Canada
S100487,2025-06-03,Mobile,1,Germany
S100488,2025-03-16,Mobile,8,Australia
S100489,2022-07-18,Mobile,8,Germany
S100490,2023-07-31,Mobile,2,India
S100491,2025-01-21,Desktop,7,USA
S100492,2022-10-06,Tablet,2,USA
S100493,2022-07-09,Mobile,6,Canada
S100494,2024-08-25,Mobile,2,USA
S100495,2026-05-22,Desktop,8,India
S100496,2022-09-28,Tablet,3,Singapore
S100497,2022-08-02,Tablet,4,UK
S100498,2023-10-08,Mobile,4,USA
S100499,2026-05-17,Mobile,8,USA
S100500,2022-09-14,Tablet,6,UK
S100501,2025-05-29,Mobile,1,Singapore
S100502,2022-01-06,Tablet,7,India
S100503,2023-09-03,Desktop,1,Germany
S100504,2025-07-26,Desktop,8,Australia
S100505,2022-08-03,Mobile,2,India
S100506,2025-12-04,Tablet,4,India
S100507,2026-07-21,Tablet,8,India
S100508,2024-11-17,Mobile,7,Canada
S100509,2024-05-21,Desktop,1,Canada
S100510,2022-03-04,Desktop,5,USA
S100511,2022-04-14,Mobile,8,USA
S100512,2024-01-24,Mobile,5,USA
S100513,2023-03-08,Mobile,5,Australia
S100514,2025-01-23,Tablet,6,Australia
S100515,2024-04-25,Tablet,2,India
S100516,2025-05-01,Desktop,1,India
S100517,2023-06-05,Desktop,7,UK
S100518,2024-08-21,Tablet,6,USA
S100519,2026-01-22,Mobile,6,Australia
S100520,2022-01-07,Tablet,2,UK
S100521,2025-03-11,Desktop,2,Canada
S100522,2022-10-30,Tablet,0,Singapore
S100523,2025-01-20,Mobile,7,UK
S100524,2023-07-26,Desktop,0,UK
S100525,2025-03-22,Desktop,5,Australia
S100526,2024-02-16,Desktop,8,Germany
S100527,2022-12-28,Mobile,7,UK
S100528,2024-01-06,Desktop,4,UK
S100529,2026-06-14,Desktop,0,Singapore
S100530,2023-07-02,Mobile,2,Singapore
S100531,2023-09-14,Desktop,7,Canada
S100532,2023-08-28,Tablet,1,Canada
S100533,2022-12-09,Tablet,5,Australia
S100534,2023-12-24,Mobile,5,USA
S100535,2025-12-12,Mobile,7,USA
S100536,2026-07-16,Tablet,2,Germany
S100537,2024-06-27,Tablet,5,Singapore
S100538,2023-08-14,Desktop,0,USA
S100539,2024-01-24,Tablet,4,Canada
S100540,2023-12-20,Mobile,7,Singapore
S100541,2022-11-28,Desktop,2,UK
S100542,2024-01-03,Desktop,7,UK
S100543,2023-03-01,Desktop,4,Australia
S100544,2022-12-06,Mobile,4,Australia
S100545,2022-10-18,Desktop,6,USA
S100546,2023-10-29,Mobile,7,Australia
S100547,2026-02-23,Desktop,5,Singapore
S100548,2022-11-30,Mobile,1,USA
S100549,2025-09-03,Tablet,1,Australia
S100550,2024-01-22,Tablet,8,Singapore
S100551,2024-04-02,Mobile,6,Germany
S100552,2023-05-31,Mobile,1,Canada
S100553,2026-03-23,Mobile,6,USA
S100554,2025-09-11,Mobile,3,USA
S100555,2024-11-12,Tablet,8,Australia
S100556,2024-03-25,Desktop,5,Canada
S100557,2023-09-19,Desktop,0,Singapore
S100558,2022-12-29,Desktop,4,USA
S100559,2023-09-27,Mobile,2,USA
S100560,2025-12-11,Tablet,1,Singapore
S100561,2024-07-23,Desktop,4,Singapore
S100562,2023-08-13,Desktop,1,UK
S100563,2026-01-25,Mobile,2,Australia
S100564,2022-10-19,Desktop,2,Australia
S100565,2023-09-03,Tablet,3,Australia
S100566,2022-01-31,Mobile,5,Canada
S100567,2025-12-27,Tablet,1,Canada
S100568,2022-07-14,Mobile,0,Singapore
S100569,2026-03-01,Mobile,7,Australia
S100570,2024-12-26,Desktop,3,UK
S100571,2024-03-02,Tablet,1,Canada
S100572,2023-11-19,Mobile,2,Singapore
S100573,2023-08-05,Tablet,7,USA
S100574,2023-03-26,Tablet,8,UK
S100575,2024-08-02,Tablet,4,USA
S100576,2026-06-16,Desktop,1,Germany
S100577,2023-05-11,Desktop,5,Canada
S100578,2025-03-25,Desktop,0,India
S100579,2024-04-22,Mobile,3,Australia
S100580,2025-01-06,Desktop,6,Germany
S100581,2025-09-17,Mobile,2,Canada
S100582,2025-06-23,Mobile,7,Germany
S100583,2024-11-12,Tablet,4,UK
S100584,2022-07-14,Desktop,0,Germany
S100585,2026-04-03,Mobile,7,India
S100586,2024-03-03,Mobile,7,Australia
S100587,2022-01-28,Desktop,4,Singapore
S100588,2022-05-12,Mobile,2,Australia
S100589,2023-09-24,Mobile,3,Australia
S100590,2025-05-23,Mobile,6,India
S100591,2025-03-26,Mobile,7,Germany
S100592,2023-11-06,Mobile,4,Canada
S100593,2023-11-10,Tablet,3,USA
S100594,2025-11-11,Tablet,0,Canada
S100595,2022-07-17,Mobile,3,USA
S100596,2022-07-14,Tablet,7,UK
S100597,2023-02-15,Mobile,7,India
S100598,2022-12-05,Desktop,6,Germany
S100599,2024-10-27,Desktop,4,Australia
S100600,2023-06-17,Desktop,4,Germany
S100601,2022-02-02,Tablet,6,Germany
S100602,2023-05-28,Mobile,1,Germany
S100603,2025-06-04,Mobile,6,Australia
S100604,2025-02-02,Mobile,0,India
S100605,2024-10-10,Mobile,8,UK
S100606,2022-01-04,Mobile,7,UK
S100607,2022-09-22,Desktop,5,Singapore
S100608,2024-06-04,Mobile,3,Singapore
S100609,2025-06-22,Tablet,5,USA
S100610,2026-03-29,Mobile,0,Canada
S100611,2022-12-09,Desktop,0,Australia
S100612,2022-04-15,Mobile,4,Australia
S100613,2024-02-28,Tablet,2,Canada
S100614,2022-12-18,Mobile,4,India
S100615,2025-11-13,Mobile,1,UK
S100616,2022-09-22,Mobile,2,India
S100617,2026-03-20,Mobile,6,Germany
S100618,2023-12-23,Desktop,8,Singapore
S100619,2025-01-28,Desktop,2,Australia
S100620,2022-12-10,Desktop,6,India
S100621,2023-12-30,Tablet,7,Germany
S100622,2025-04-19,Mobile,0,UK
S100623,2026-01-01,Tablet,5,USA
S100624,2022-11-09,Mobile,4,India
S100625,2024-08-09,Tablet,0,Canada
S100626,2026-05-14,Tablet,4,Singapore
S100627,2022-02-01,Tablet,4,USA
S100628,2026-03-14,Desktop,3,Australia
S100629,2024-09-10,Mobile,2,Singapore
S100630,2025-10-23,Tablet,3,India
S100631,2025-05-27,Mobile,3,India
S100632,2025-06-24,Tablet,2,Singapore
S100633,2022-07-26,Tablet,0,Germany
S100634,2025-02-24,Mobile,2,Australia
S100635,2024-05-29,Mobile,8,India
S100636,2025-10-21,Mobile,1,Singapore
S100637,2025-08-09,Tablet,7,Germany
S100638,2025-05-12,Tablet,0,UK
S100639,2025-12-02,Desktop,0,UK
S100640,2023-04-20,Desktop,0,UK
S100641,2022-08-01,Desktop,5,Germany
S100642,2025-05-28,Mobile,8,India
S100643,2024-03-28,Mobile,2,Germany
S100644,2024-07-08,Mobile,7,Germany
S100645,2022-04-11,Desktop,4,India
S100646,2026-01-17,Mobile,6,Australia
S100647,2024-07-16,Desktop,0,India
