seller_id,fraud_flag,risk_score,fraud_reason
S100294,False,40,Multiple Accounts
S100295,False,68,Multiple Accounts
S100296,False,39,Multiple Accounts
S100297,False,67,Fake Address
S100298,False,35,Fake Address
S100299,False,37,Document Mismatch
S100300,False,2,Document Mismatch
S100301,True,94,Multiple Accounts
S100302,False,84,Multiple Accounts
S100303,False,82,None
S100304,False,53,Document Mismatch
S100305,False,36,Document Mismatch
S100306,False,59,Document Mismatch
S100307,False,49,Document Mismatch
S100308,True,95,Document Mismatch
S100309,False,21,Fake Address
S100310,False,78,Document Mismatch
S100311,True,94,Document Mismatch
S100312,False,14,None
S100313,False,84,Multiple Accounts
S100314,False,15,Multiple Accounts
S100315,True,93,Document Mismatch
S100316,False,79,Multiple Accounts
S100317,False,13,Fake Address
S100318,False,71,Fake Address
S100319,False,46,Fake Address
S100320,False,40,Fake Address
S100321,False,81,Multiple Accounts
S100322,False,17,None
S100323,True,87,Multiple Accounts
S100324,False,46,Fake Address
S100325,False,72,Multiple Accounts
S100326,False,78,Multiple Accounts
S100327,True,92,Fake Address
S100328,False,84,None
S100329,False,11,Fake Address
S100330,True,99,Multiple Accounts
S100331,True,97,Document Mismatch
S100332,False,27,Multiple Accounts
S100333,False,34,Fake Address
S100334,False,85,Document Mismatch
S100335,False,85,None
S100336,False,63,Document Mismatch
S100337,True,98,None
S100338,False,29,Multiple Accounts
S100339,False,57,Document Mismatch
S100340,False,24,None
S100341,True,97,Fake Address
S100342,True,91,Fake Address
S100343,False,79,None
S100344,False,11,Fake Address
S100345,False,46,None
S100346,True,95,Document Mismatch
S100347,False,73,None
S100348,False,56,Document Mismatch
S100349,False,56,Document Mismatch
S100350,False,55,None
S100351,False,25,Multiple Accounts
S100352,False,47,None
S100353,False,34,Fake Address
S100354,False,41,Fake Address
S100355,False,3,None
S100356,True,91,Fake Address
S100357,False,12,Fake Address
S100358,False,12,Fake Address
S100359,False,84,Document Mismatch
S100360,False,54,Multiple Accounts
S100361,False,13,Multiple Accounts
S100362,False,39,Multiple Accounts
S100363,False,72,Fake Address
S100364,False,2,None
S100365,False,52,Fake Address
S100366,False,36,Fake Address
S100367,False,41,Multiple Accounts
S100368,True,98,Fake Address
S100369,False,12,None
S100370,False,48,Multiple Accounts
S100371,False,32,Document Mismatch
S100372,False,63,Fake Address
S100373,True,88,Fake Address
S100374,True,92,Document Mismatch
S100375,True,97,Document Mismatch
S100376,False,3,Document Mismatch
S100377,False,77,Multiple Accounts
S100378,False,49,Multiple Accounts
S100379,False,21,None
S100380,True,86,Fake Address
S100381,True,98,Multiple Accounts
S100382,False,83,None
S100383,False,6,Fake Address
S100384,False,73,None
S100385,False,44,Multiple Accounts
S100386,False,50,None
S100387,False,79,None
S100388,False,85,Multiple Accounts
S100389,False,73,Multiple Accounts
S100390,False,4,Multiple Accounts
S100391,False,51,Document Mismatch
S100392,False,28,Document Mismatch
S100393,False,33,None
S100394,False,18,Multiple Accounts
S100395,False,34,Document Mismatch
S100396,False,22,None
S100397,True,87,Fake Address
S100398,False,30,Multiple Accounts
S100399,False,55,Fake Address
S100400,False,70,Multiple Accounts
S100401,False,47,Document Mismatch
S100402,False,18,Document Mismatch
S100403,False,17,Multiple Accounts
S100404,False,46,Document Mismatch
S100405,False,17,Fake Address
S100406,True,90,Fake Address
S100407,False,30,Fake Address
S100408,False,69,Multiple Accounts
S100409,False,76,Fake Address
S100410,False,48,Document Mismatch
S100411,False,74,Document Mismatch
S100412,False,18,None
S100413,False,9,Fake Address
S100414,False,85,Document Mismatch
S100415,False,32,None
S100416,False,29,Multiple Accounts
S100417,False,3,Multiple Accounts
S100418,False,71,Multiple Accounts
S100419,False,74,None
S100420,False,13,Multiple Accounts
S100421,False,50,Multiple Accounts
S100422,True,97,Fake Address
S100423,False,10,Multiple Accounts
S100424,False,35,Document Mismatch
S100425,True,100,Fake Address
S100426,False,11,Fake Address
S100427,True,87,Multiple Accounts
S100428,False,15,Document Mismatch
S100429,False,6,Multiple Accounts
S100430,False,16,Document Mismatch
S100431,False,12,None
S100432,False,50,Multiple Accounts
S100433,False,53,Multiple Accounts
S100434,False,61,Multiple Accounts
S100435,False,4,Document Mismatch
S100436,False,73,None
S100437,True,97,Fake Address
S100438,False,47,Multiple Accounts
S100439,False,12,None
S100440,False,80,Fake Address
S100441,False,11,Document Mismatch
S100442,True,98,Document Mismatch
S100443,False,70,None
S100444,False,10,Multiple Accounts
S100445,False,15,Document Mismatch
S100446,False,36,Fake Address
S100447,False,55,Fake Address
S100448,False,70,Multiple Accounts
S100449,False,65,Multiple Accounts
S100450,True,88,Multiple Accounts
S100451,False,24,Document Mismatch
S100452,True,98,Document Mismatch
S100453,True,95,Multiple Accounts
S100454,False,84,Multiple Accounts
S100455,False,50,None
S100456,False,37,Fake Address
S100457,False,83,Multiple Accounts
S100458,False,75,Document Mismatch
S100459,False,50,Document Mismatch
S100460,True,98,Fake Address
S100461,False,85,Document Mismatch
S100462,False,62,None
S100463,False,53,Document Mismatch
S100464,False,7,Fake Address
S100465,False,61,Fake Address
S100466,False,46,Fake Address
S100467,True,98,Multiple Accounts
S100468,False,37,None
S100469,False,37,None
S100470,True,97,Fake Address
S100471,False,9,None
S100472,False,16,Multiple Accounts
S100473,False,32,Fake Address
S100474,False,38,None
S100475,False,9,Multiple Accounts
S100476,False,65,Fake Address
S100477,False,83,None
S100478,False,45,Multiple Accounts
S100479,False,25,Multiple Accounts
S100480,True,91,None
S100481,False,16,Document Mismatch
S100482,False,30,None
S100483,False,52,None
S100484,True,95,Fake Address
S100485,False,51,Document Mismatch
S100486,False,22,None
S100487,False,85,None
S100488,False,43,Fake Address
S100489,False,62,Fake Address
S100490,False,61,None
S100491,False,19,None
S100492,False,76,Multiple Accounts
S100493,False,74,Multiple Accounts
S100494,False,19,Multiple Accounts
S100495,False,38,Multiple Accounts
S100496,True,89,Fake Address
S100497,False,57,Multiple Accounts
S100498,False,27,Document Mismatch
S100499,False,48,Fake Address
S100500,False,22,Fake Address
S100501,False,75,Multiple Accounts
S100502,False,69,Multiple Accounts
S100503,False,26,Multiple Accounts
S100504,False,36,Multiple Accounts
S100505,True,93,Multiple Accounts
S100506,False,83,None
S100507,False,59,None
S100508,False,26,None
S100509,False,45,None
S100510,False,32,Multiple Accounts
S100511,False,52,Document Mismatch
S100512,True,87,None
S100513,False,30,Multiple Accounts
S100514,False,45,Multiple Accounts
S100515,False,35,Multiple Accounts
S100516,False,45,Fake Address
S100517,False,33,Document Mismatch
S100518,True,91,None
S100519,False,41,Document Mismatch
S100520,False,30,None
S100521,False,20,Multiple Accounts
S100522,False,4,Fake Address
S100523,False,26,None
S100524,False,25,Document Mismatch
S100525,True,100,Multiple Accounts
S100526,False,52,Document Mismatch
S100527,False,31,Fake Address
S100528,True,86,Document Mismatch
S100529,True,86,Fake Address
S100530,False,65,None
S100531,True,99,Document Mismatch
S100532,False,82,Fake Address
S100533,False,5,Multiple Accounts
S100534,True,100,None
S100535,True,90,None
S100536,False,18,Fake Address
S100537,False,48,Document Mismatch
S100538,False,19,None
S100539,True,90,Fake Address
S100540,False,38,Fake Address
S100541,False,76,Document Mismatch
S100542,False,41,Document Mismatch
S100543,False,23,Document Mismatch
S100544,False,63,Document Mismatch
S100545,False,18,None
S100546,False,68,Fake Address
S100547,False,48,Multiple Accounts
S100548,False,10,Multiple Accounts
S100549,False,30,Fake Address
S100550,False,36,Multiple Accounts
S100551,False,12,None
S100552,True,87,Fake Address
S100553,True,86,Multiple Accounts
S100554,False,85,None
S100555,True,88,None
S100556,False,23,None
S100557,False,3,None
S100558,True,90,Document Mismatch
S100559,False,57,Fake Address
S100560,False,54,Multiple Accounts
S100561,False,47,Multiple Accounts
S100562,False,85,Multiple Accounts
S100563,False,25,Document Mismatch
S100564,False,44,Document Mismatch
S100565,False,80,None
S100566,False,77,Fake Address
S100567,False,52,Multiple Accounts
S100568,False,50,Document Mismatch
S100569,False,13,Document Mismatch
S100570,False,10,Fake Address
S100571,False,16,Multiple Accounts
S100572,False,40,None
S100573,True,100,Fake Address
S100574,True,91,Document Mismatch
S100575,False,55,Fake Address
S100576,False,64,None
S100577,False,74,Fake Address
S100578,False,43,Fake Address
S100579,False,19,Document Mismatch
S100580,True,97,Multiple Accounts
S100581,False,83,None
S100582,False,66,Multiple Accounts
S100583,False,29,Multiple Accounts
S100584,True,98,Document Mismatch
S100585,False,83,Document Mismatch
S100586,False,10,Fake Address
S100587,False,49,Document Mismatch
S100588,False,13,Document Mismatch
S100589,True,100,Document Mismatch
S100590,False,8,Fake Address
S100591,False,64,Multiple Accounts
S100592,True,86,Multiple Accounts
S100593,False,63,Fake Address
S100594,True,86,Multiple Accounts
S100595,False,14,Document Mismatch
S100596,False,38,Fake Address
S100597,False,41,None
S100598,False,47,None
S100599,False,70,Multiple Accounts
S100600,False,36,Fake Address
S100601,False,29,Document Mismatch
S100602,False,54,Multiple Accounts
S100603,True,97,Document Mismatch
S100604,False,20,Document Mismatch
S100605,False,11,None
S100606,False,17,Document Mismatch
S100607,False,43,Fake Address
S100608,False,11,Fake Address
S100609,True,100,Document Mismatch
S100610,False,11,Document Mismatch
S100611,False,16,Document Mismatch
S100612,False,84,None
S100613,False,22,None
S100614,False,74,Multiple Accounts
S100615,True,90,Fake Address
S100616,False,59,Fake Address
S100617,True,94,Multiple Accounts
S100618,False,17,Multiple Accounts
S100619,False,21,Fake Address
S100620,False,39,None
S100621,False,28,None
S100622,False,75,None
S100623,False,69,Multiple Accounts
S100624,False,34,Document Mismatch
S100625,False,64,None
S100626,True,92,None
S100627,False,51,Document Mismatch
S100628,False,6,Fake Address
S100629,False,41,Fake Address
S100630,True,90,None
S100631,False,14,Fake Address
S100632,False,82,Fake Address
S100633,False,1,None
S100634,False,63,Multiple Accounts
S100635,False,7,None
S100636,True,96,None
S100637,False,32,Document Mismatch
S100638,False,15,Document Mismatch
S100639,False,85,None
S100640,True,95,Multiple Accounts
S100641,True,98,Document Mismatch
S100642,False,49,Multiple Accounts
S100643,False,29,None
S100644,False,27,Fake Address
S100645,False,77,Fake Address
S100646,False,74,None
S100647,True,97,Multiple Accounts
S100648,False,21,Fake Address
S100649,False,58,Fake Address
S100650,False,65,Document Mismatch
S100651,True,94,Fake Address
S100652,True,87,None
S100653,False,27,None
S100654,False,13,None
S100655,False,24,Multiple Accounts
S100656,False,72,None
S100657,False,32,Multiple Accounts
S100658,False,21,Fake Address
S100659,False,72,Multiple Accounts
S100660,False,49,Multiple Accounts
S100661,False,70,None
S100662,False,9,None
S100663,False,75,None
S100664,True,95,Fake Address
S100665,False,58,Document Mismatch
S100666,False,59,Fake Address
S100667,False,19,Multiple Accounts
S100668,False,60,None
S100669,False,25,None
S100670,False,52,Fake Address
S100671,False,79,Document Mismatch
S100672,True,89,Fake Address
S100673,False,41,Document Mismatch
S100674,True,98,Fake Address
S100675,False,16,Document Mismatch
S100676,False,31,Multiple Accounts
S100677,False,75,Fake Address
S100678,False,33,Document Mismatch
S100679,False,55,None
S100680,True,93,Fake Address
S100681,False,63,Document Mismatch
S100682,False,55,Multiple Accounts
S100683,False,56,Fake Address
S100684,False,75,None
S100685,False,79,Multiple Accounts
S100686,False,37,Fake Address
S100687,False,37,Multiple Accounts
S100688,False,26,None
S100689,False,82,Fake Address
S100690,False,45,Document Mismatch
S100691,True,98,Multiple Accounts
S100692,True,100,Fake Address
S100693,False,76,Fake Address
S100694,False,11,Multiple Accounts
S100695,False,19,Document Mismatch
S100696,False,54,Fake Address
S100697,False,65,Multiple Accounts
S100698,False,12,Document Mismatch
S100699,False,19,None
S100700,False,23,Fake Address
S100701,True,87,Document Mismatch
S100702,False,31,Document Mismatch
S100703,False,28,Fake Address
S100704,False,23,Document Mismatch
S100705,False,42,None
S100706,False,33,Multiple Accounts
S100707,False,64,Document Mismatch
S100708,False,21,Fake Address
S100709,False,30,None
S100710,False,67,None
S100711,False,13,Fake Address
S100712,False,77,Document Mismatch
S100713,False,28,Fake Address
S100714,False,75,Fake Address
S100715,False,65,Document Mismatch
S100716,False,55,Multiple Accounts
S100717,True,90,Multiple Accounts
S100718,False,35,Document Mismatch
S100719,False,48,None
S100720,False,40,Fake Address
S100721,False,40,Multiple Accounts
S100722,False,64,None
S100723,False,63,Fake Address
S100724,False,3,Document Mismatch
S100725,False,24,Fake Address
S100726,False,30,Document Mismatch
S100727,False,1,Multiple Accounts
S100728,False,24,None
S100729,False,29,None
S100730,False,82,Fake Address
S100731,True,94,None
S100732,False,47,Document Mismatch
S100733,False,75,None
S100734,False,64,Fake Address
S100735,False,58,Multiple Accounts
S100736,False,44,Multiple Accounts
S100737,False,15,Multiple Accounts
S100738,False,10,Fake Address
S100739,False,41,None
S100740,False,17,Multiple Accounts
S100741,False,32,Document Mismatch
S100742,False,73,Fake Address
S100743,False,25,None
S100744,False,64,Fake Address
S100745,False,2,Fake Address
S100746,False,20,Fake Address
S100747,False,21,Fake Address
S100748,False,19,Fake Address
S100749,False,21,Multiple Accounts
S100750,False,78,None
S100751,False,8,Fake Address
S100752,False,29,Multiple Accounts
S100753,False,35,Multiple Accounts
S100754,False,81,Multiple Accounts
S100755,False,45,Document Mismatch
S100756,False,42,Fake Address
S100757,True,87,Fake Address
S100758,False,64,Document Mismatch
S100759,False,20,Fake Address
S100760,False,9,None
S100761,False,13,Document Mismatch
S100762,True,100,None
S100763,False,45,None
S100764,False,18,None
S100765,False,36,Fake Address
S100766,False,58,None
S100767,False,61,Fake Address
S100768,False,38,Document Mismatch
S100769,False,70,Fake Address
S100770,True,91,None
S100771,True,94,Multiple Accounts
S100772,False,17,None
S100773,True,88,Document Mismatch
S100774,False,66,None
S100775,False,60,None
S100776,False,4,Multiple Accounts
S100777,False,40,Multiple Accounts
S100778,False,56,None
S100779,False,69,None
S100780,False,18,None
S100781,False,45,Multiple Accounts
S100782,False,53,Document Mismatch
S100783,False,10,Fake Address
S100784,False,5,Document Mismatch
S100785,False,5,Fake Address
S100786,False,47,Multiple Accounts
S100787,False,12,Fake Address
S100788,False,26,None
S100789,False,12,Document Mismatch
S100790,False,75,Fake Address
S100791,False,68,Document Mismatch
S100792,False,38,Document Mismatch
S100793,False,47,Fake Address
S100794,True,90,Fake Address
S100795,False,77,None
S100796,False,37,Fake Address
S100797,False,8,Document Mismatch
S100798,False,34,Fake Address
S100799,True,89,None
S100800,False,2,None
S100801,False,21,Document Mismatch
S100802,False,10,Document Mismatch
S100803,False,33,None
S100804,False,69,None
S100805,False,82,Document Mismatch
S100806,True,96,None
S100807,False,64,None
S100808,False,52,Multiple Accounts
S100809,True,87,Document Mismatch
S100810,False,52,Multiple Accounts
S100811,False,24,Fake Address
S100812,False,66,Document Mismatch
S100813,False,46,Multiple Accounts
S100814,False,10,Fake Address
S100815,False,59,Multiple Accounts
S100816,False,27,Document Mismatch
S100817,False,30,Document Mismatch
S100818,False,23,Multiple Accounts
S100819,False,78,Document Mismatch
S100820,False,62,Multiple Accounts
S100821,False,44,None
S100822,False,14,None
S100823,False,25,Fake Address
S100824,False,49,None
S100825,False,68,None
S100826,False,51,Fake Address
S100827,False,19,None
S100828,False,3,Fake Address
S100829,False,3,Fake Address
S100830,False,17,Document Mismatch
S100831,False,78,Document Mismatch
S100832,False,21,None
S100833,False,42,Document Mismatch
S100834,False,50,Fake Address
S100835,False,40,None
S100836,False,35,Fake Address
S100837,False,83,Fake Address
S100838,False,56,Document Mismatch
S100839,False,36,Multiple Accounts
S100840,False,50,None
S100841,False,33,Document Mismatch
S100842,False,18,Multiple Accounts
S100843,False,32,Multiple Accounts
S100844,False,18,Multiple Accounts
S100845,True,95,Multiple Accounts
S100846,False,7,Fake Address
S100847,False,31,Multiple Accounts
S100848,False,83,Multiple Accounts
S100849,False,36,None
S100850,True,90,Document Mismatch
S100851,False,85,None
S100852,False,85,None
S100853,False,49,Document Mismatch
S100854,True,97,Multiple Accounts
S100855,False,57,None
S100856,False,37,Document Mismatch
S100857,False,67,None
S100858,False,78,None
S100859,False,22,Fake Address
S100860,False,20,Fake Address
S100861,True,99,Document Mismatch
S100862,True,86,Document Mismatch
S100863,False,1,Multiple Accounts
S100864,False,61,Fake Address
S100865,False,74,Fake Address
S100866,True,98,None
S100867,False,48,Multiple Accounts
S100868,False,5,Fake Address
S100869,False,55,Document Mismatch
S100870,False,44,Document Mismatch
S100871,False,14,Multiple Accounts
S100872,False,10,None
S100873,False,5,Multiple Accounts
S100874,False,40,Document Mismatch
S100875,False,25,Fake Address
S100876,False,31,Multiple Accounts
S100877,True,92,Document Mismatch
S100878,False,59,Multiple Accounts
S100879,True,98,Document Mismatch
S100880,False,34,Fake Address
S100881,True,93,None
S100882,True,98,Document Mismatch
S100883,False,52,None
S100884,True,87,None
S100885,False,56,Document Mismatch
S100886,False,43,Document Mismatch
S100887,False,70,Multiple Accounts
S100888,True,86,None
S100889,False,19,Multiple Accounts
S100890,False,5,Document Mismatch
S100891,True,98,None
S100892,False,66,None
S100893,False,40,Document Mismatch
S100894,False,40,Document Mismatch
S100895,False,79,None
S100896,False,2,Fake Address
S100897,False,25,Fake Address
S100898,False,74,Fake Address
S100899,False,2,None
S100900,True,95,Document Mismatch
S100901,False,78,Document Mismatch
S100902,False,66,Fake Address
S100903,False,80,Multiple Accounts
S100904,False,54,Document Mismatch
S100905,True,100,Fake Address
S100906,True,87,Multiple Accounts
S100907,False,80,Fake Address
S100908,False,70,Fake Address
S100909,False,64,None
S100910,False,53,None
S100911,False,52,Fake Address
S100912,False,42,Fake Address
S100913,False,38,Multiple Accounts
S100914,True,86,Document Mismatch
S100915,False,6,Multiple Accounts
S100916,False,69,Fake Address
S100917,False,51,Multiple Accounts
S100918,False,39,Fake Address
S100919,False,36,Fake Address
S100920,False,64,None
S100921,False,69,Document Mismatch
S100922,False,30,None
S100923,True,98,Fake Address
S100924,False,12,Multiple Accounts
S100925,False,25,Fake Address
S100926,False,63,None
S100927,False,63,Document Mismatch
S100928,False,54,Document Mismatch
S100929,False,61,Document Mismatch
S100930,False,77,Document Mismatch
S100931,False,43,Fake Address
S100932,True,88,Fake Address
S100933,False,35,Fake Address
S100934,True,88,None
S100935,False,7,Document Mismatch
S100936,True,95,Document Mismatch
S100937,False,7,Fake Address
S100938,False,40,Document Mismatch
S100939,False,8,Fake Address
S100940,False,30,Document Mismatch
S100941,False,8,Fake Address
S100942,False,25,None
S100943,False,75,Document Mismatch
S100944,False,24,Multiple Accounts
S100945,True,99,Multiple Accounts
S100946,False,24,Fake Address
S100947,False,72,Document Mismatch
S100948,False,21,Multiple Accounts
S100949,True,100,Fake Address
S100950,False,22,None
S100951,False,8,Multiple Accounts
S100952,False,3,Multiple Accounts
S100953,False,48,Fake Address
S100954,False,71,None
S100955,False,54,Multiple Accounts
S100956,False,39,Multiple Accounts
S100957,True,98,Multiple Accounts
S100958,False,40,None
S100959,False,37,Multiple Accounts
S100960,False,39,Document Mismatch
S100961,True,93,None
S100962,False,16,Multiple Accounts
S100963,False,28,Fake Address
S100964,False,15,Document Mismatch
S100965,False,70,Fake Address
S100966,False,2,Fake Address
S100967,False,13,Multiple Accounts
S100968,False,31,Multiple Accounts
S100969,False,29,Document Mismatch
S100970,False,50,Fake Address
S100971,False,14,Document Mismatch
S100972,False,13,Fake Address
S100973,False,23,Fake Address
S100974,True,87,None
