seller_id,seller_name,country,business_type,industry,registration_date,annual_revenue
S100264,"Lloyd, Mckinney and Collins",Australia,LLP,Beauty,2023-09-11,3392306.0
S100265,Tran Inc,Germany,Partnership,Electronics,2023-05-01,6448231.0
S100266,Gay Inc,Canada,LLP,Sports,2023-08-29,5003150.0
S100267,Valentine-Holland,India,Partnership,Books,2022-01-17,9544713.0
S100268,Jimenez Ltd,Singapore,Individual,Sports,2026-03-07,8383700.0
S100269,Hicks-Hill,Singapore,LLP,Home,2026-06-25,3910745.0
S100270,Baird-Sanchez,Canada,LLP,Fashion,2025-07-27,3239885.0
S100271,"Thomas, Lee and Greene",Canada,LLP,Automotive,2026-03-28,2344774.0
S100272,"Suarez, Shields and Hill",Australia,Individual,Automotive,2025-08-16,711401.0
S100273,Morgan-French,UK,Partnership,Electronics,2025-04-01,6171355.0
S100274,Hoover-Campbell,Australia,Private Limited,Electronics,2023-08-28,5531437.0
S100275,Monroe-Carpenter,Australia,Partnership,Fashion,2023-02-16,2267273.0
S100276,"Burns, Hernandez and Ryan",Singapore,Sole Proprietor,Books,2024-12-23,8468719.0
S100277,Cook-Hines,UK,Private Limited,Books,2024-09-13,5001651.0
S100278,Gibson-Morris,Australia,LLP,Home,2022-08-24,7907296.0
S100279,Pollard and Sons,India,Private Limited,Home,2023-04-08,6717458.0
S100280,"Reyes, Chase and Jenkins",Singapore,Sole Proprietor,Books,2022-07-04,6669862.0
S100281,Garner-Thornton,India,LLP,Sports,2022-09-11,7680043.0
S100282,Hughes-Alvarado,UK,LLP,Sports,2024-02-20,6282293.0
S100283,"Pollard, Simpson and Johnson",India,Private Limited,Beauty,2022-02-21,9468852.0
S100284,"Sanford, Rivera and Garcia",UK,Sole Proprietor,Fashion,2025-08-19,1110605.0
S100285,Garcia-Lozano,Australia,Partnership,Automotive,2023-09-11,6900067.0
S100286,Bowen Group,INDIA,Private Limited,Electronics,2022-03-18,5156390.0
S100287,"Booker, Jones and Harrington",Germany,Individual,Electronics,2023-04-26,9068535.0
S100288,Morgan-Schwartz,USA,Partnership,Beauty,2024-01-30,9112926.0
S100289,"Miller, Murphy and Craig",Germany,Sole Proprietor,Automotive,2026-01-28,2642464.0
S100290,"James, Stewart and Higgins",Germany,Individual,Home,2024-09-29,6897048.0
S100291,Brennan-Johnson,UK,Individual,Automotive,2024-01-29,3695180.0
S100292,Young Ltd,Germany,Partnership,Fashion,2024-01-13,1716893.0
S100293,Bright-Francis,Australia,LLP,Sports,2025-08-13,6067548.0
S100294,Good-Hodges,India,Partnership,Books,2023-01-24,2099499.0
S100295,"Brennan, Wallace and Benson",Singapore,Partnership,Electronics,2025-09-19,3608545.0
S100296,Williams Inc,Australia,Sole Proprietor,Electronics,2022-04-14,5645355.0
S100297,Howard-Jordan,USA,Private Limited,Home,2025-03-02,3492778.0
S100298,Schmidt PLC,India,Sole Proprietor,Fashion,2025-04-15,3673062.0
S100299,"Sparks, Jackson and Miller",Singapore,Private Limited,Books,2026-05-05,2525548.0
S100300,Harvey-Allen,Singapore,Sole Proprietor,Electronics,2023-07-22,2477461.0
S100301,"Thomas, Murray and King",USA,Sole Proprietor,Books,2026-06-24,2977575.0
S100302,Estrada-Nolan,India,Individual,Fashion,2022-01-31,6060308.0
S100303,Santana-Byrd,Singapore,Private Limited,Sports,2023-10-26,314762.0
S100304,Jones LLC,USA,LLP,Electronics,2022-09-17,7112546.0
S100305,"Evans, Hayden and Vaughn",Canada,Individual,Automotive,2022-05-11,8040081.0
S100306,Bruce-Gonzalez,Germany,LLP,Sports,2025-04-30,1879622.0
S100307,Castaneda-Rodriguez,Germany,Sole Proprietor,Fashion,2025-06-13,777544.0
S100308,Armstrong-Andrews,Australia,Sole Proprietor,Books,2024-07-27,572621.0
S100309,"Phillips, Spence and Barrett",India,Partnership,Home,2024-04-02,7201684.0
S100310,Smith-Grimes,Australia,Individual,Beauty,2025-12-29,7491741.0
S100311,"Beltran, Lozano and Mcgee",India,Individual,Books,2025-05-30,2538628.0
S100312,Parsons-Hall,India,Private Limited,Books,2025-07-02,9870789.0
S100313,Robinson-Lee,Canada,LLP,Beauty,2025-05-08,8951266.0
S100314,Byrd-Le,UK,Partnership,Sports,2025-05-24,7267547.0
S100315,"Becker, Taylor and Davis",India,Individual,Home,2025-09-02,9299870.0
S100316,"Lucas, Parker and Alexander",Australia,Private Limited,Beauty,2024-07-13,3883486.0
S100317,"Diaz, Anderson and Browning",Germany,LLP,Home,2024-07-17,6739582.0
S100318,Burgess-Thompson,Germany,Individual,Books,2024-05-24,5293275.0
S100319,Buchanan LLC,Australia,LLP,Books,2022-11-09,8006894.0
S100320,"Shaw, Nelson and Martin",India,Individual,Home,2022-06-24,1614141.0
S100321,Coffey-Phillips,Germany,Individual,Automotive,2026-02-22,6301976.0
S100322,Brock-Mcdonald,Singapore,Private Limited,Sports,2022-05-03,9889251.0
S100323,Taylor and Sons,Canada,Sole Proprietor,Books,2025-10-04,2100700.0
S100324,"Ramsey, Whitney and Coffey",Germany,LLP,Home,2025-09-24,7145702.0
S100325,"Diaz, Gibbs and Smith",Singapore,Individual,Books,2025-05-14,5292022.0
S100326,"Martinez, Richardson and Curry",UK,Individual,Sports,2024-11-05,3619164.0
S100327,Richards-Carson,USA,Partnership,Fashion,2022-08-10,5923938.0
S100328,Rodriguez-Hall,Singapore,Sole Proprietor,Books,2022-08-24,4723599.0
S100329,Harvey PLC,Canada,Private Limited,Home,2024-05-28,9461442.0
S100330,Herman-Walker,Singapore,Sole Proprietor,Sports,2025-10-14,9390543.0
S100331,Reid Group,India,Sole Proprietor,Automotive,2025-11-21,4537028.0
S100332,"Turner, Ortiz and Taylor",India,Private Limited,Books,2025-12-10,5233902.0
S100333,Torres Group,UK,LLP,Electronics,2023-01-07,2453361.0
S100334,Davis PLC,Canada,Partnership,Electronics,2022-10-18,564340.0
S100335,Price LLC,India,Sole Proprietor,Fashion,2024-02-10,7093620.0
S100336,"Avery, Horton and Fernandez",Germany,LLP,Fashion,2024-01-28,5278407.0
S100337,"Newton, Moore and Perry",INDIA,LLP,Home,2025-03-08,1475342.0
S100338,Bass PLC,India,Private Limited,Fashion,2026-03-26,884876.0
