seller_id,orders,sales,returns,refunds
S100211,159,257262,14,10108
S100212,327,765180,25,8725
S100213,310,187550,2,3018
S100214,16,32592,1,1567
S100215,306,226440,55,98890
S100216,115,68080,8,4032
S100217,6,9306,0,0
S100218,118,151984,3,2622
S100219,238,479570,31,22134
S100220,10,6020,2,3108
S100221,53,109286,4,4332
S100222,38,26790,5,7250
S100223,355,658880,27,10233
S100224,265,560210,52,65156
S100225,128,256256,7,3206
S100226,411,655134,43,80797
S100227,79,96064,13,7306
S100228,53,23108,3,3417
S100229,38,75658,5,4250
S100230,114,282834,9,7371
S100231,61,56608,6,4566
S100232,83,175296,5,3860
S100233,244,514108,13,11063
S100234,167,333165,10,11870
S100235,104,199368,20,35020
S100236,497,620256,42,80850
S100237,64,69504,7,12173
S100238,234,344448,33,12408
S100239,248,531464,25,28625
S100240,464,273760,72,132480
S100241,208,355056,19,19494
S100242,363,391677,40,33840
S100243,145,258390,23,10143
S100244,231,500115,19,12160
S100245,481,778258,96,144480
S100246,123,141204,15,11865
S100247,283,410916,34,48144
S100248,412,964904,53,23956
S100249,3,1893,1,1575
S100250,128,125568,15,5775
S100251,391,825792,76,28804
S100252,449,1023271,83,43824
S100253,490,621320,11,20020
S100254,314,719060,9,12096
S100255,176,439648,3,1833
S100256,420,169260,66,41184
S100257,24,49152,2,2184
S100258,474,234156,16,22064
S100259,460,553380,52,70668
S100260,184,438656,34,38760
S100261,19,14554,2,3952
S100262,386,166752,32,25600
S100263,317,406077,10,16360
S100264,500,1246000,55,81620
S100265,213,495012,21,41559
S100266,2,3240,1,1163
S100267,138,173466,22,8910
S100268,252,613872,11,4356
S100269,483,1116696,84,113316
S100270,24,28008,4,2484
S100271,356,812036,28,40880
S100272,272,159664,37,70041
S100273,313,780309,48,80208
S100274,482,848802,28,35868
S100275,234,389844,28,49252
S100276,468,934596,79,57196
S100277,13,20553,2,1990
S100278,419,290786,4,7024
S100279,185,238280,31,44237
S100280,438,731898,76,102600
S100281,219,123954,3,3201
S100282,447,726375,17,17612
S100283,36,78552,0,0
S100284,349,639717,44,14740
S100285,251,584328,32,44960
S100286,134,178220,18,26478
S100287,421,805794,83,154463
S100288,338,165282,12,16680
S100289,40,63400,8,13192
S100290,109,190641,1,1877
S100291,86,183868,11,6776
S100292,451,1064360,73,27156
S100293,448,767872,78,95004
S100294,113,47347,21,36267
S100295,229,506090,31,44795
S100296,56,33432,8,14568
S100297,281,234916,15,5730
S100298,190,417430,21,17892
S100299,51,24531,0,0
S100300,50,104550,9,13860
S100301,199,206761,4,7168
S100302,410,507170,73,48180
S100303,100,89100,12,12480
S100304,43,62823,2,3184
S100305,128,162432,4,6156
S100306,140,147420,20,31380
S100307,78,129168,0,0
S100308,150,263100,6,4668
S100309,279,460908,23,14536
S100310,492,799008,57,101631
S100311,492,724224,13,19955
S100312,237,291036,21,25473
S100313,55,62590,8,8472
S100314,105,142800,4,2852
S100315,391,320229,78,78936
S100316,62,64852,1,1723
S100317,168,252504,33,39666
S100318,277,662307,2,2748
S100319,227,380225,24,31176
S100320,134,86028,19,6061
S100321,346,676776,13,11037
S100322,110,186670,12,20208
S100323,323,456722,8,2808
S100324,275,282425,15,10095
S100325,327,225630,14,7686
S100326,451,796917,1,1362
S100327,95,152855,16,18544
S100328,330,253110,12,10896
S100329,40,83080,3,3105
S100330,171,309510,30,39930
S100331,268,405216,5,4385
S100332,177,401967,18,23058
S100333,123,222384,11,15928
S100334,467,1060557,67,108473
S100335,328,560224,63,68670
S100336,245,176155,24,47040
S100337,410,542430,38,32148
S100338,255,581655,36,51624
S100339,228,310536,12,5616
S100340,393,290034,73,87673
S100341,451,818114,57,60135
S100342,127,83185,20,35200
S100343,150,259800,6,7530
S100344,425,260950,63,53802
S100345,464,1130768,12,8820
S100346,38,54644,3,4455
S100347,210,213780,26,12298
S100348,290,267670,33,61908
S100349,86,198402,7,2639
S100350,226,433468,2,1670
S100351,225,397350,29,51678
S100352,30,65880,2,3400
S100353,412,372036,33,18282
S100354,253,420233,20,7260
S100355,49,39347,5,7640
S100356,182,257348,4,5700
S100357,190,451630,4,6080
S100358,371,822507,40,78840
S100359,44,89936,4,3264
S100360,404,901324,68,65824
S100361,446,732332,32,22464
S100362,313,717709,48,51600
S100363,80,59280,0,0
S100364,290,695710,57,47595
S100365,283,524682,47,82438
S100366,158,171430,2,2648
S100367,370,599400,71,120629
S100368,61,82838,12,17664
S100369,358,632586,13,20020
S100370,6,9306,1,1211
S100371,62,154566,6,10386
S100372,243,322704,0,0
S100373,183,362706,11,11825
S100374,91,120393,5,4235
S100375,44,81664,1,794
S100376,414,645840,5,2350
S100377,236,359192,38,63270
S100378,345,790740,13,9334
S100379,326,708398,33,15114
S100380,65,111410,11,21593
S100381,453,679500,15,20460
S100382,301,541198,1,1370
S100383,448,386624,86,151532
S100384,204,307428,35,44905
S100385,354,828006,25,38050
S100386,243,476037,20,10160
S100387,230,287960,35,56700
S100388,181,175389,23,13662
S100389,348,794832,37,63048
S100390,231,102333,17,31569
S100391,194,338918,28,13580
S100392,325,738400,28,44912
S100393,225,511650,40,67480
S100394,34,63750,6,7368
S100395,389,860468,22,32274
S100396,345,465750,0,0
S100397,2,1470,0,0
S100398,305,358680,32,20672
S100399,296,629888,13,25636
S100400,191,320880,14,9086
S100401,400,705600,64,82688
S100402,464,1129376,1,1822
S100403,70,66220,1,588
S100404,455,675675,32,62176
S100405,211,353425,6,10830
S100406,217,185318,42,45276
S100407,195,291720,21,30744
S100408,159,393207,13,24063
S100409,371,192920,61,52582
S100410,45,57690,9,13518
S100411,427,376187,37,63159
S100412,181,264803,8,4792
S100413,499,1241512,74,93610
S100414,135,170505,23,18998
S100415,247,504127,9,13599
S100416,217,173166,4,7420
S100417,341,750882,15,29460
S100418,374,513128,50,19450
S100419,467,558065,66,99660
S100420,65,44200,6,7056
S100421,373,384936,16,28240
S100422,421,647498,9,9720
S100423,190,391590,30,21150
S100424,487,1207760,84,142716
S100425,219,98112,20,23860
S100426,34,14722,3,1911
S100427,63,144018,10,9750
S100428,214,248240,27,41256
S100429,75,93375,7,13230
S100430,286,370942,46,85790
S100431,126,84168,4,3704
S100432,437,923381,61,65148
S100433,428,1045176,63,113274
S100434,398,475212,56,82768
S100435,442,212602,0,0
S100436,451,1110362,38,66576
S100437,330,415140,65,56550
S100438,287,553623,7,7378
S100439,352,684992,70,35700
S100440,107,100366,5,8340
S100441,32,34880,2,2930
S100442,184,279864,12,20124
S100443,84,42000,6,3672
S100444,171,218025,26,13520
S100445,159,245019,14,19194
S100446,342,148770,44,19580
S100447,463,794971,64,96832
S100448,169,193336,28,36008
S100449,264,343728,48,43104
S100450,31,48918,6,10392
S100451,209,442035,22,9130
S100452,146,318134,26,42718
S100453,377,530439,65,42640
S100454,359,404952,29,18705
S100455,211,443733,34,12886
S100456,280,546280,25,17800
S100457,354,260544,45,28080
S100458,327,781857,12,23808
S100459,227,501670,26,31954
S100460,147,319284,12,7740
S100461,414,230598,24,23712
S100462,210,410130,3,4368
S100463,135,204930,12,18636
S100464,251,480665,22,8800
S100465,25,36150,3,4722
S100466,211,215220,26,14898
S100467,186,416082,33,51546
S100468,249,514434,7,11270
S100469,192,191808,36,40680
S100470,287,204918,36,21168
S100471,278,187094,0,0
S100472,230,192970,31,49445
S100473,203,209090,7,7105
S100474,202,346430,32,45472
S100475,193,93219,10,6510
S100476,469,1002722,29,25288
S100477,242,201586,17,28016
S100478,58,42456,10,7780
S100479,202,281184,5,8410
S100480,252,559692,27,18063
S100481,465,923955,0,0
S100482,471,632553,46,88458
S100483,243,371790,7,13167
S100484,437,995923,2,3572
S100485,447,1060284,7,3087
S100486,132,250404,0,0
S100487,444,831168,71,22010
S100488,145,292465,26,37882
S100489,163,381094,21,22092
S100490,162,183546,24,41376
S100491,223,487478,25,20525
S100492,356,241724,41,42435
S100493,234,107640,38,59736
S100494,35,21385,7,13923
S100495,310,478640,22,35244
S100496,39,89388,4,6676
S100497,500,628500,66,94446
S100498,360,255960,67,115240
S100499,15,21510,0,0
S100500,6,10512,1,1898
S100501,105,169995,8,14048
S100502,169,221052,9,14733
S100503,80,60320,15,24825
S100504,267,389553,5,4985
S100505,44,90156,6,2958
S100506,386,926400,46,67436
S100507,220,257180,5,8260
S100508,105,217980,8,5688
S100509,355,718165,23,11891
S100510,326,787942,48,40224
S100511,26,31096,4,7748
S100512,455,611520,18,22626
S100513,354,323556,56,96656
S100514,325,627900,8,7048
S100515,368,368000,12,9852
S100516,168,264432,28,38276
S100517,32,68576,4,6052
S100518,376,768544,45,45720
S100519,75,42000,12,7980
S100520,18,40284,3,3561
S100521,294,441882,8,3584
S100522,228,119016,0,0
S100523,26,20384,4,7652
S100524,271,412462,29,50460
S100525,393,713295,57,82536
S100526,203,216195,4,5344
S100527,442,220116,67,35041
S100528,422,875228,30,55470
S100529,201,111153,10,3130
S100530,293,608268,8,11392
S100531,216,465048,3,2475
S100532,421,640341,0,0
S100533,397,966298,44,82016
S100534,230,150650,27,14553
S100535,460,890100,12,12900
S100536,261,640494,40,78600
S100537,214,239252,3,2790
S100538,108,243216,16,21680
S100539,404,310676,40,55440
S100540,48,77232,1,339
S100541,275,319825,24,44184
S100542,164,160884,23,27876
S100543,183,390339,2,2418
S100544,281,308819,12,17604
S100545,382,566888,38,67298
S100546,435,258390,81,143208
S100547,131,309422,6,5148
S100548,5,8450,1,437
S100549,238,427686,29,29000
S100550,374,461890,33,37092
S100551,102,160650,6,2580
S100552,188,213192,0,0
S100553,280,325640,23,30889
S100554,25,23450,4,5740
S100555,71,124676,1,1886
S100556,214,232618,34,15946
S100557,441,888615,58,104226
S100558,333,386613,56,87808
S100559,483,937020,51,96645
S100560,431,658137,9,17811
S100561,2,1206,0,0
S100562,259,350945,45,37890
S100563,139,149703,1,1653
S100564,249,337644,4,1388
S100565,260,335400,44,56892
S100566,437,210634,68,105740
S100567,441,188307,43,31175
S100568,253,612260,39,57720
S100569,360,615600,8,12392
S100570,445,898010,45,27540
S100571,276,443256,19,18582
S100572,147,95403,12,10332
S100573,357,857157,59,70328
S100574,277,644025,37,54316
S100575,450,287550,27,16254
S100576,372,483600,67,61037
S100577,286,249106,37,35705
S100578,446,205160,2,638
S100579,50,95100,10,14640
S100580,375,745500,26,43836
S100581,180,269280,5,7505
S100582,259,326081,11,4235
S100583,454,641048,54,100278
S100584,165,287265,20,12880
S100585,119,230741,13,8476
S100586,208,304096,12,14616
S100587,440,992200,9,8532
S100588,487,1104029,88,162448
S100589,274,368256,31,53506
S100590,23,27554,4,5108
S100591,71,142071,2,3648
S100592,63,145404,8,10920
S100593,476,516460,77,55671
S100594,344,242864,34,31654
S100595,286,640926,55,97460
S100596,355,594980,59,64841
S100597,307,424274,54,31752
S100598,168,390432,11,11825
S100599,25,38975,2,3784
S100600,312,163800,39,22503
S100601,180,182160,8,11048
S100602,20,26760,4,7276
S100603,406,220052,72,104328
S100604,283,114615,9,9000
S100605,330,449790,47,27918
S100606,127,211074,17,33643
S100607,145,320740,29,53331
S100608,343,275429,18,14994
S100609,154,366366,15,21060
S100610,254,285242,27,36450
S100611,183,381006,20,20940
S100612,421,192818,45,76950
S100613,68,105060,3,957
S100614,153,246024,7,11452
S100615,420,687120,19,16397
S100616,214,318004,23,14375
S100617,80,44880,7,10878
S100618,147,83937,11,8899
S100619,401,565410,13,21229
S100620,456,881448,37,29489
S100621,404,973236,68,46172
S100622,427,913780,81,52650
S100623,164,267320,21,29190
S100624,457,537432,68,128588
S100625,427,753655,23,11063
S100626,151,276632,14,24150
S100627,344,607848,61,67405
S100628,252,512568,1,654
S100629,394,614640,36,14508
S100630,435,309720,13,24154
S100631,147,175518,5,9270
S100632,24,40800,2,2754
S100633,263,110197,14,17878
S100634,84,69720,15,29070
S100635,284,623380,35,32795
S100636,152,108680,23,23414
S100637,419,249305,46,51612
S100638,285,275025,35,38500
S100639,481,294372,60,48840
S100640,273,480207,51,34833
S100641,290,721520,24,29832
S100642,393,747879,42,37128
S100643,72,75672,11,15499
S100644,123,135054,9,11691
S100645,383,442748,2,3422
S100646,272,210256,29,18096
S100647,253,481206,42,42630
S100648,391,373405,47,62792
S100649,288,377856,37,34595
S100650,88,159016,12,8088
S100651,393,526227,57,51300
S100652,52,38844,10,5140
S100653,425,484500,13,10478
S100654,290,493870,54,29106
S100655,55,112200,7,4984
S100656,226,332446,42,83160
S100657,309,751179,27,17847
S100658,434,477400,5,3290
S100659,48,84480,4,7576
S100660,468,772668,16,12736
S100661,272,369648,41,34686
S100662,349,774431,42,58968
S100663,138,171534,14,12208
S100664,1,913,1,1640
S100665,398,185866,48,76944
S100666,64,31168,9,17334
S100667,72,77184,7,6923
S100668,51,96033,8,12608
S100669,172,321640,9,6723
S100670,27,39393,2,3366
S100671,335,283745,32,20160
S100672,153,314874,18,21456
S100673,106,250584,3,1128
S100674,296,603840,17,32929
S100675,46,49956,4,6004
S100676,482,913390,49,93933
S100677,275,193050,38,16340
S100678,62,51894,12,7044
S100679,297,212652,37,45177
S100680,421,627711,18,21186
S100681,315,474705,14,6216
S100682,396,302148,57,97299
S100683,69,86319,12,9828
S100684,335,714890,50,16650
S100685,119,50456,18,6444
S100686,62,84382,1,1313
S100687,54,127386,1,1386
S100688,28,37688,3,5871
S100689,106,74624,7,12285
S100690,135,302265,19,11647
S100691,54,31104,3,5232
S100692,74,178932,12,19128
S100693,57,135090,1,1348
S100694,160,318880,2,2156
S100695,479,1115591,14,12068
S100696,272,183056,23,40043
S100697,119,137088,1,1734
S100698,52,27040,7,11830
S100699,117,220545,11,14883
S100700,100,71500,0,0
S100701,76,56848,5,6750
S100702,418,1025772,76,126312
S100703,57,119130,9,8208
S100704,18,25758,3,2376
S100705,380,795340,42,80766
S100706,369,182286,69,119991
S100707,431,1056381,20,31400
S100708,3,3741,0,0
S100709,282,599814,0,0
S100710,309,201777,37,60458
S100711,57,117135,6,6540
S100712,221,397579,41,16933
S100713,431,818469,51,30141
S100714,129,224589,10,9890
S100715,100,75800,1,1561
S100716,18,26892,1,1464
S100717,497,1231069,46,51198
S100718,161,301875,6,4800
S100719,452,1056776,78,100776
S100720,414,438012,62,59706
S100721,428,614608,45,61830
S100722,425,309825,36,27720
S100723,3,2991,0,0
S100724,482,758668,44,68024
S100725,428,443836,62,53196
S100726,394,805336,54,35154
S100727,341,281666,52,100516
S100728,356,835888,68,64532
S100729,181,316569,28,32340
S100730,2,3502,1,1432
S100731,459,400248,57,62358
S100732,109,47306,4,6148
S100733,199,303873,2,2710
S100734,64,50368,8,6976
S100735,293,560509,41,78761
S100736,273,150696,25,21300
S100737,430,760670,76,150936
S100738,412,886624,29,14210
S100739,488,1173152,81,43254
S100740,320,747840,22,15180
S100741,455,829465,14,21070
S100742,223,107040,36,38124
S100743,259,515410,3,2943
S100744,445,208260,42,43050
S100745,258,203304,19,31464
S100746,233,192458,9,6084
S100747,189,164430,21,26817
S100748,174,224460,32,12288
S100749,461,402453,46,64630
S100750,353,530912,7,13174
S100751,67,52997,11,4664
S100752,131,105848,23,43010
S100753,55,32395,9,11268
S100754,311,341167,37,26048
S100755,347,697817,20,19080
S100756,286,465036,57,111720
S100757,493,261783,91,81718
S100758,8,9840,0,0
S100759,105,116970,12,4416
S100760,284,125528,32,21152
S100761,274,605266,11,20636
S100762,103,196730,12,22596
S100763,348,609348,51,59109
S100764,188,303432,33,38544
S100765,383,369595,7,3948
S100766,355,694025,27,51084
S100767,391,764405,77,76076
S100768,265,148400,0,0
S100769,328,470680,11,12452
S100770,285,529530,35,58555
S100771,358,596428,8,9208
S100772,177,154698,5,5935
S100773,475,571425,79,144807
S100774,317,388325,13,18902
S100775,237,332985,47,35861
S100776,24,59400,3,4029
S100777,316,438924,61,79849
S100778,226,137634,19,37563
S100779,95,174135,3,4389
S100780,301,542101,11,16456
S100781,27,37098,0,0
S100782,440,833360,53,82362
S100783,151,288410,19,24890
S100784,156,134784,19,18278
S100785,54,130302,3,3327
S100786,186,156054,23,31050
S100787,177,276474,15,13455
S100788,172,193844,0,0
S100789,461,384474,31,27900
S100790,448,457856,7,4578
S100791,143,303732,6,4224
S100792,256,351744,11,14861
S100793,29,33379,4,6356
S100794,239,303291,20,15500
S100795,335,485080,15,7740
S100796,226,308038,28,12600
S100797,236,389400,23,31441
S100798,250,451500,35,37975
S100799,332,373168,41,52111
S100800,495,747450,24,17544
S100801,48,40896,6,5232
S100802,229,466015,4,1664
S100803,171,199899,27,9261
S100804,425,1020850,36,62928
S100805,97,133181,18,25380
S100806,299,165347,39,12129
S100807,239,433307,3,2736
S100808,396,543708,28,13944
S100809,187,457963,30,9360
S100810,136,280568,4,5572
S100811,34,59500,4,3244
S100812,490,623280,98,105154
S100813,258,635196,47,85399
S100814,357,463029,5,2670
S100815,343,289149,52,94640
S100816,3,6276,1,470
S100817,196,388864,32,61536
S100818,41,57728,5,8940
S100819,370,888370,54,42606
S100820,412,285516,14,20482
S100821,396,872388,75,48600
S100822,368,327520,64,51584
S100823,497,373744,89,100837
S100824,19,47120,3,2745
S100825,184,255392,22,10340
S100826,267,599148,35,41020
S100827,109,194674,17,15045
S100828,389,881085,59,103368
S100829,71,145337,7,10423
S100830,176,102080,13,12428
S100831,477,864801,65,94055
S100832,317,181007,43,32121
S100833,99,105435,10,9830
S100834,253,461219,38,48716
S100835,340,569840,62,122202
S100836,200,443400,2,1852
S100837,93,105276,1,628
S100838,155,240095,21,34797
S100839,267,166074,10,17660
S100840,112,270032,1,1748
S100841,461,430113,34,12308
S100842,74,108262,10,5300
S100843,439,1088720,61,89914
S100844,275,654775,32,30880
S100845,301,307923,57,78261
S100846,357,713286,71,84419
S100847,252,219240,16,23616
S100848,40,86680,6,8640
S100849,484,223608,11,11495
S100850,335,581560,12,3672
S100851,495,340560,81,41148
S100852,273,412503,43,26015
S100853,184,212704,27,23463
S100854,9,15201,0,0
S100855,314,553268,33,47949
S100856,69,47196,9,4563
S100857,323,756789,46,68310
S100858,183,184281,6,5256
S100859,467,935868,19,37430
S100860,26,63414,2,3186
S100861,389,318202,56,71400
S100862,209,443080,19,32490
S100863,19,11628,3,1698
S100864,15,18840,1,1742
S100865,388,397700,43,82001
S100866,398,762568,57,35055
S100867,365,380330,65,62075
S100868,334,798260,13,7644
S100869,58,103298,7,9709
S100870,180,345960,3,4821
S100871,156,314184,3,2685
S100872,389,879140,43,15007
S100873,311,494490,8,13808
S100874,55,108790,11,16335
S100875,464,514576,9,11097
S100876,241,476939,28,55496
S100877,308,678216,31,14570
S100878,470,1118600,42,64386
S100879,480,657120,4,6740
S100880,14,27510,0,0
S100881,233,568054,34,55182
S100882,312,483600,19,15618
S100883,188,142316,30,56520
S100884,482,264618,28,11900
S100885,103,205897,16,20704
S100886,114,159828,19,8645
S100887,54,95094,8,15184
S100888,129,158928,22,8558
S100889,58,78010,1,799
S100890,143,336765,28,24752
S100891,92,86020,15,12855
S100892,392,502544,41,24477
S100893,154,135366,9,6894
S100894,301,453908,1,538
S100895,12,19788,2,2890
S100896,266,117306,28,25900
S100897,137,335513,1,529
S100898,313,354942,58,72036
S100899,216,291816,28,48944
S100900,322,791798,50,32650
S100901,455,473200,40,14360
S100902,325,526825,17,14535
S100903,372,254448,39,40053
S100904,93,69006,8,5472
S100905,494,212914,7,5957
S100906,334,175684,52,35568
S100907,439,924095,83,125247
S100908,352,869440,39,46917
S100909,164,295200,5,6740
S100910,201,359589,24,12576
S100911,129,62952,24,16464
S100912,395,685720,34,55420
S100913,134,67268,25,49250
S100914,490,1007930,3,1026
S100915,172,218440,11,11330
S100916,285,662340,53,48071
S100917,274,558138,39,51129
S100918,35,37205,1,315
S100919,213,268806,23,28796
S100920,231,323862,37,44289
S100921,459,579258,80,66480
S100922,43,49880,7,2842
S100923,266,370538,18,18432
S100924,244,309392,0,0
S100925,52,43004,0,0
S100926,167,165831,24,24048
S100927,230,298080,35,42560
S100928,119,142800,9,4032
S100929,407,911273,19,34580
S100930,456,199272,45,17145
S100931,130,254280,11,13266
S100932,279,423801,24,26472
S100933,419,817050,18,34110
S100934,225,184725,13,5590
S100935,69,107157,0,0
S100936,117,134316,12,12060
S100937,125,278125,7,5341
S100938,457,1023680,68,71536
S100939,26,36816,3,3123
S100940,92,127696,7,7105
S100941,190,279870,11,4235
S100942,262,512472,29,50750
S100943,167,90514,7,10794
S100944,122,146522,20,37520
S100945,455,747565,38,28158
S100946,344,743728,47,80511
S100947,288,246528,48,46320
S100948,112,116592,15,17430
S100949,459,565947,80,124800
S100950,164,359324,22,10076
S100951,139,132050,6,7728
S100952,399,246582,35,63770
S100953,257,459516,23,11638
S100954,97,79831,7,9681
S100955,492,712416,28,49028
S100956,472,978928,48,21600
S100957,442,313378,24,24864
S100958,353,877558,69,98601
S100959,140,261240,15,18810
S100960,337,576607,3,1914
S100961,322,727076,44,73392
S100962,396,170280,7,3199
S100963,58,40600,8,4080
S100964,292,516840,54,19386
S100965,185,203500,34,33558
S100966,475,635075,92,35788
S100967,273,283647,6,1938
S100968,224,153888,43,16426
S100969,259,610981,31,46593
S100970,426,244950,71,93933
S100971,152,270256,13,10374
S100972,140,324800,20,32100
S100973,433,595808,56,35952
S100974,378,522018,7,2625
S100975,293,369180,48,18096
S100976,214,273920,14,20188
S100977,192,158784,27,10935
S100978,79,81370,4,4888
S100979,399,604086,19,32908
S100980,410,311600,60,85980
S100981,458,525784,89,111962
S100982,226,157748,3,5568
S100983,182,92092,5,8710
S100984,340,457300,21,21525
S100985,361,611534,11,6721
S100986,41,50758,8,5928
S100987,496,295120,64,51776
S100988,115,137425,6,5310
S100989,221,218790,11,12507
S100990,445,635905,18,14724
S100991,5,2690,0,0
S100992,247,381121,10,10410
S100993,315,254520,36,61740
S100994,134,317178,7,9968
S100995,102,133620,6,6708
S100996,243,137052,28,32844
S100997,83,39259,11,21197
S100998,208,99216,21,12180
S100999,436,726376,81,76059
